,Domain,Phylum,Class,Order,Family,Genus,Species,OTU
New.ReferenceOTU7546,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,Ascobolaceae,uncultured eukaryote,New.ReferenceOTU7546
New.ReferenceOTU1751,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Leotiomycetes,Helotiales,Holwaya mucida subsp. nipponica,New.ReferenceOTU1751
New.ReferenceOTU1052,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,Mortierellales,Mortierella alpina,New.ReferenceOTU1052
New.CleanUp.ReferenceOTU448688,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Leotiomycetes,Helotiales,Holwaya mucida subsp. nipponica,New.CleanUp.ReferenceOTU448688
New.CleanUp.ReferenceOTU1057260,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,Ascobolaceae,uncultured eukaryote,New.CleanUp.ReferenceOTU1057260
New.CleanUp.ReferenceOTU1472216,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU1472216
New.CleanUp.ReferenceOTU1858482,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU1858482
New.CleanUp.ReferenceOTU1892459,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Nectriaceae,Nectria,Nectria cinnabarina,New.CleanUp.ReferenceOTU1892459
New.CleanUp.ReferenceOTU2407954,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,Ascobolaceae,uncultured eukaryote,New.CleanUp.ReferenceOTU2407954
New.CleanUp.ReferenceOTU2585547,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,Ascobolaceae,uncultured eukaryote,New.CleanUp.ReferenceOTU2585547
New.CleanUp.ReferenceOTU2648178,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU2648178
New.CleanUp.ReferenceOTU2668569,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Microascaceae,Brachyconidiellopsis,Brachyconidiellopsis fimicola,New.CleanUp.ReferenceOTU2668569
New.CleanUp.ReferenceOTU2885332,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,Mortierellales,Mortierella alpina,New.CleanUp.ReferenceOTU2885332