,OTU,710.G7,330.C4,630.G3,215.A9,330.C6,310.B7,605.F1,730.H5,830.G5,510.3,730.H6,210.A6,515.2,525.2,815.F12,810.H10,505.D10,630.G2,405.C9,830.G6,315.B12,430.D8,510.2,725.H2,810.H12,405.C7,415.D2,625.F12,825.G2,725.H1,715.G11,410.C10,715.G12,215.A8,410.C12,210.A5,710.G9,815.F11,510.1,730.H4,515.3,225.A12,410.C11,805.H9,815.F10,605.F2,830.G4,705.G5,325.C2,630.G1,805.H7,205.A2,825.G1,230.B2,810.H11,725.H3,315.B10,610.F5,205.A3,610.F6,825.G3,415.D1,215.A7,415.D3,210.A4,610.F4,205.A1,310.B9,430.D9,425.D4,525.3,530.1,710.G8,330.C5,225.A11,515.1,405.C8,615.F7,230.B1,705.G6,505.D12,805.H8,430.D7,625.F11,325.C1,605.F3,310.B8,230.B3,305.B5,615.F9,505.D11,705.G4,530.3,625.F10,305.B4,530.2,715.G10,425.D6,305.B6,615.F8,425.D5,315.B11,Kingdom,Phylum,Class,Order,Family,Genus,Species
New.ReferenceOTU7546,New.ReferenceOTU7546,0,0,0.060773481,0,0.007751938,0,0.196428571,0.136986301,0.153409091,0,0.031914894,0,0,0,0,0,0,0,0.043478261,0.051136364,0,0,0,0.077669903,0,0,0.125,0,0.222222222,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0.056,0.038461538,0.024,0.012658228,0,0.069698601,0.04,0.028368794,0,0.014388489,0,0,0.139067055,0,0,0,0,0,0,0.03960396,0.084143294,0,0.027777778,0.0125,0,0.036363636,0,0,0.009009009,0,0,0,0.05,0,0,0,0,0.047337278,0,0.094339623,0,0.107913669,0.155339806,0,0,0.020833333,0.112244898,0,0.03,0.087378641,0,0.011764706,0.015503876,0,0,0,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ascobolaceae,unc_Ascobolaceae,NA
New.ReferenceOTU1798,New.ReferenceOTU1798,0,0.008849558,0.033149171,0.012658228,0.03875969,0.037735849,0.017857143,0,0.034090909,0.041666667,0.063829787,0.010204082,0,0.025,0,0.087719298,0,0.046948357,0,0.028409091,0.166666667,0.045454545,0.046511628,0,0.29787234,0.017241379,0,0,0,0.019230769,0.095238095,0.147058824,0,0.018348624,0.035714286,0.027027027,0,0.078651685,0,0.008849558,0,0.033333333,0.023255814,0,0.016949153,0.014084507,0.048,0.067307692,0.04,0.025316456,0.018518519,0.000269107,0.013333333,0.085106383,0.020408163,0.014388489,0.029411765,0,0.000291545,0.011627907,0.011627907,0,0.031746032,0.026315789,0.03,0,0,0,0.013888889,0.0125,0.058823529,0,0.03125,0.045045045,0.018018018,0,0,0.024390244,0.133333333,0.057692308,0,0.043478261,0.028571429,0,0,0.018867925,0.052631579,0.057553957,0.029126214,0,0.024691358,0.0625,0.010204082,0,0.02,0.019417476,0,0,0.03875969,0,0,0.024390244,Eukaryota,SAR,Stramenopiles,Peronosporomycetes,Pythium,Pythium ,NA
New.ReferenceOTU6152,New.ReferenceOTU6152,0.519230769,0.539823009,0.348066298,0.632911392,0.372093023,0.773584906,0.160714286,0.130136986,0.102272727,0.3125,0.127659574,0.540816327,0.613207547,0.5,0.296296296,0.026315789,0.285714286,0.291079812,0.47826087,0.102272727,0.25,0.333333333,0.465116279,0.233009709,0.14893617,0.465517241,0.336538462,0.004938272,0.155555556,0.139423077,0.595238095,0.294117647,0.666666667,0.513761468,0.571428571,0.243243243,0.291666667,0.617977528,0.609756098,0.17699115,0.618181818,0.466666667,0.255813953,0.07960199,0.372881356,0.154929577,0.192,0.240384615,0.688,0.436708861,0.12962963,0.010764263,0.293333333,0.226950355,0.06122449,0.208633094,0.205882353,0.418181818,0.005830904,0.406976744,0.151162791,0.28125,0.428571429,0.473684211,0.41,0.227722772,0.005276312,0.289473684,0.305555556,0.375,0.176470588,0.218181818,0.5625,0.324324324,0.36036036,0.660714286,0.24137931,0.341463415,0.191666667,0.163461538,0.486486486,0.260869565,0.552380952,0.00739645,0.476190476,0.150943396,0.578947368,0.201438849,0.330097087,0.4375,0.104938272,0.177083333,0.163265306,0.02027027,0.46,0.194174757,0.285714286,0.482352941,0.104651163,0.5,0.235294118,0.536585366,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tremellomycetes,unc_Tremellales,NA
New.ReferenceOTU1751,New.ReferenceOTU1751,0,0.017699115,0.027624309,0.012658228,0,0.018867925,0.053571429,0.047945205,0.034090909,0,0.010638298,0.12244898,0.028301887,0.05,0.092592593,0.140350877,0.035714286,0.018779343,0,0.017045455,0.083333333,0,0.069767442,0.087378641,0.063829787,0.051724138,0.067307692,0.022222222,0.066666667,0.076923077,0,0.058823529,0,0.055045872,0.107142857,0.108108108,0.166666667,0.02247191,0.048780488,0.053097345,0,0.033333333,0.069767442,0.691542289,0.016949153,0.211267606,0.024,0.019230769,0.016,0.037974684,0.703703704,0.756189451,0.053333333,0.042553191,0.183673469,0.151079137,0.058823529,0.036363636,0.663556851,0.093023256,0.069767442,0.03125,0.079365079,0.035087719,0.04,0.079207921,0.618439322,0.078947368,0.013888889,0.0625,0.058823529,0.054545455,0,0.018018018,0.063063063,0.035714286,0.068965517,0.158536585,0.033333333,0.067307692,0,0.195652174,0.00952381,0.00443787,0.130952381,0.113207547,0.052631579,0.007194245,0.009708738,0.0625,0.012345679,0.0625,0.06122449,0.016891892,0.05,0.048543689,0,0.023529412,0.019379845,0.088235294,0.088235294,0.12195122,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Leotiomycetes,unc_Helotiales,NA
New.ReferenceOTU1536,New.ReferenceOTU1536,0.307692308,0.132743363,0.337016575,0.278481013,0.341085271,0.150943396,0.25,0.397260274,0.392045455,0.395833333,0.393617021,0.224489796,0.198113208,0.225,0.166666667,0.078947368,0.285714286,0.478873239,0.304347826,0.272727273,0.125,0.181818182,0.418604651,0.165048544,0.212765957,0.24137931,0.365384615,0.02962963,0.088888889,0.192307692,0.142857143,0.411764706,0.238095238,0.330275229,0.25,0.418918919,0.375,0.134831461,0.317073171,0.407079646,0.345454545,0.266666667,0.302325581,0.034825871,0.06779661,0.281690141,0.368,0.125,0.176,0.297468354,0.092592593,0.00861141,0.12,0.510638298,0.204081633,0.172661871,0.382352941,0.363636364,0.006122449,0.255813953,0.162790698,0.21875,0.333333333,0.210526316,0.38,0.217821782,0.005554013,0.473684211,0.333333333,0.2875,0.235294118,0.345454545,0.1875,0.432432432,0.36036036,0.214285714,0.24137931,0.268292683,0.391666667,0.288461538,0.351351351,0.065217391,0.219047619,0.020710059,0.238095238,0.283018868,0.280701754,0.446043165,0.155339806,0.3125,0.049382716,0.135416667,0.306122449,0.013513514,0.25,0.388349515,0.428571429,0.235294118,0.046511628,0.088235294,0.323529412,0.097560976,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tremellaceae,Tremella,NA
New.ReferenceOTU3543,New.ReferenceOTU3543,0,0,0.016574586,0.025316456,0.007751938,0,0.035714286,0.006849315,0.028409091,0.041666667,0,0.020408163,0.066037736,0.025,0,0.578947368,0.107142857,0.004694836,0,0.005681818,0.166666667,0.03030303,0,0.106796117,0.106382979,0.051724138,0.067307692,0.004938272,0.022222222,0.086538462,0.095238095,0.088235294,0.095238095,0.009174312,0,0.027027027,0,0.02247191,0,0.03539823,0,0.033333333,0.093023256,0.009950249,0.016949153,0.056338028,0.016,0.028846154,0.032,0.012658228,0,0.000538213,0.053333333,0.007092199,0.265306122,0.129496403,0.147058824,0.072727273,0.000291545,0.093023256,0.069767442,0.265625,0.031746032,0.052631579,0.05,0.04950495,0.000555401,0.026315789,0.041666667,0.0375,0.088235294,0,0.09375,0.027027027,0.009009009,0.0625,0.034482759,0.073170732,0.025,0.057692308,0.027027027,0,0.00952381,0.00591716,0.05952381,0.056603774,0.01754386,0.014388489,0.009708738,0.0625,0,0.041666667,0.030612245,0.003378378,0,0.009708738,0.285714286,0,0.007751938,0.264705882,0.029411765,0.024390244,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Cryptomycota,unc_LKM11,NA
New.ReferenceOTU1052,New.ReferenceOTU1052,0,0,0.005524862,0,0.11627907,0,0,0.054794521,0.113636364,0,0.170212766,0,0,0,0,0.01754386,0,0,0,0.386363636,0,0,0,0.009708738,0,0,0,0,0.022222222,0.004807692,0,0,0,0,0,0,0,0,0,0.053097345,0,0,0,0.004975124,0,0,0,0,0,0,0,0.135091496,0,0,0,0,0,0,0.114577259,0,0.011627907,0,0,0,0.04,0,0.263815607,0,0,0,0,0.072727273,0.03125,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0.057553957,0,0,0.018518519,0,0.071428571,0,0,0,0,0,0,0.009803922,0,0,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Incertae Sedis,unc_Mortierellales,NA
New.CleanUp.ReferenceOTU777186,New.CleanUp.ReferenceOTU777186,0,0.088495575,0,0,0.031007752,0.018867925,0.071428571,0.068493151,0.011363636,0.020833333,0.010638298,0.020408163,0.018867925,0,0.055555556,0.01754386,0,0.037558685,0.043478261,0.017045455,0,0.060606061,0,0.033980583,0.042553191,0.034482759,0.028846154,0.916049383,0.066666667,0.028846154,0,0,0,0,0,0.013513514,0.083333333,0.06741573,0,0.053097345,0.018181818,0.033333333,0.11627907,0.009950249,0,0.056338028,0.032,0.221153846,0,0.025316456,0,0.003767492,0.026666667,0,0.020408163,0.014388489,0.176470588,0.018181818,0.055102041,0.069767442,0.011627907,0.0625,0.015873016,0.043859649,0.02,0.306930693,0.011941127,0.052631579,0.125,0.1,0.029411765,0.090909091,0.0625,0,0.108108108,0,0.068965517,0.024390244,0.016666667,0.192307692,0,0.065217391,0,0.899408284,0.011904762,0.094339623,0,0.007194245,0.233009709,0,0.043209877,0.09375,0.051020408,0.935810811,0.13,0,0,0.082352941,0.740310078,0,0,0.097560976,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Agaricomycotina,unc_Agaricomycetes,NA
New.CleanUp.ReferenceOTU1892459,New.CleanUp.ReferenceOTU1892459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00780409,0,0,0.010204082,0.007194245,0,0,0.007580175,0,0,0,0,0,0,0,0.00444321,0,0,0,0,0,0,0,0.009009009,0,0,0,0,0,0,0,0,0.00147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Nectriaceae,Nectria,NA
New.CleanUp.ReferenceOTU2211657,New.CleanUp.ReferenceOTU2211657,0,0,0,0,0,0,0.071428571,0,0,0.041666667,0,0,0.037735849,0.075,0.314814815,0.043859649,0.214285714,0,0,0,0,0,0,0.237864078,0.063829787,0.086206897,0,0.004938272,0.311111111,0.384615385,0.047619048,0,0,0,0.035714286,0,0,0.056179775,0,0,0,0,0.023255814,0.15920398,0.474576271,0.197183099,0,0.230769231,0,0,0.037037037,0.001883746,0.36,0,0.142857143,0.223021583,0,0.018181818,0.001457726,0.011627907,0.476744186,0,0,0.087719298,0,0,0.000833102,0.052631579,0,0.05,0.264705882,0,0,0,0,0.008928571,0.172413793,0.036585366,0,0.125,0.081081081,0.369565217,0,0.00295858,0.023809524,0.113207547,0,0,0.009708738,0.0625,0.722222222,0.34375,0,0,0.03,0,0,0.070588235,0.015503876,0.039215686,0.308823529,0,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Dothideomycetes,unc_Pleosporales,NA
New.CleanUp.ReferenceOTU2295790,New.CleanUp.ReferenceOTU2295790,0.173076923,0.212389381,0.171270718,0.037974684,0.085271318,0,0.107142857,0.157534247,0.130681818,0.125,0.191489362,0.051020408,0.037735849,0.1,0.074074074,0,0.071428571,0.122065728,0.086956522,0.119318182,0.166666667,0.348484848,0,0.038834951,0.063829787,0.034482759,0.009615385,0.007407407,0.022222222,0.067307692,0.023809524,0,0,0.073394495,0,0.121621622,0.083333333,0,0.024390244,0.212389381,0.018181818,0.133333333,0.11627907,0,0.033898305,0.028169014,0.264,0.028846154,0.008,0.151898734,0,0.001883746,0.026666667,0.09929078,0.06122449,0.057553957,0,0.036363636,0.001457726,0.046511628,0.023255814,0.140625,0.079365079,0.070175439,0.03,0.079207921,0.000833102,0.026315789,0.138888889,0.0375,0.029411765,0.181818182,0.03125,0.153153153,0.063063063,0.017857143,0.034482759,0.073170732,0.116666667,0.038461538,0,0,0.180952381,0.00591716,0.047619048,0.056603774,0.01754386,0.100719424,0.067961165,0.0625,0.00617284,0.052083333,0.193877551,0.003378378,0.03,0.252427184,0,0.094117647,0.003875969,0.009803922,0.014705882,0.097560976,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Tapinellaceae,Tapinella,NA
New.CleanUp.ReferenceOTU2668569,New.CleanUp.ReferenceOTU2668569,0,0,0,0,0,0,0.035714286,0,0,0.020833333,0,0.010204082,0,0,0,0.00877193,0,0,0.043478261,0,0.041666667,0,0,0.009708738,0,0.017241379,0,0.009876543,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009950249,0,0,0,0,0.016,0,0.018518519,0.003498385,0.013333333,0,0.030612245,0.007194245,0,0.036363636,0.004664723,0.011627907,0.011627907,0,0,0,0,0,0.00416551,0,0,0.025,0.058823529,0,0,0,0,0,0.137931034,0,0.008333333,0.009615385,0.054054054,0,0,0.00443787,0.011904762,0.018867925,0,0,0,0,0.018518519,0.010416667,0,0.006756757,0,0,0,0,0.007751938,0,0,0,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Microascaceae,Brachyconidiellopsis,NA